Sheet,Section,Sub-Section,Item / Task,Layer,Detail / Expected Result,Status,Assigned Dev,Priority,Sprint / Phase,Notes
11 Dashboard-Reports,Dashboard APIs,Backend,GET /api/dashboard/faculty-academics-summary,Backend,"Faculty count, today's classes, attendance %, open exams — academicRoutes.",Not Started,Precious,High,Phase 2,Arnav dashboard consumes this read API only.
11 Dashboard-Reports,Dashboard APIs,Backend,GET /api/dashboard/lms-exams-summary,Backend,LMS engagement + exam schedule/result publish stats.,Not Started,Precious,Medium,Phase 2,
11 Dashboard-Reports,MIS,Reports,Institutional MIS report page (admin),Frontend,"Combined MIS: admissions conversion, fee collection, attendance, pass % — tabs; Arnav page composing APIs.",Not Started,Arnav,High,Phase 3,Client: Institutional MIS reports.
11 Dashboard-Reports,MIS,Reports,Course-wise profitability (fees vs cost stub),All,Revenue by program from Fees; cost stub fields — Phase 3.,Not Started,Arnav,Medium,Phase 3,Client: Course-wise profitability reports.
11 Dashboard-Reports,Compliance,Reports,Compliance & audit report stub,All,Export audit log filters; compliance checklist stub.,Not Started,Arnav,Medium,Phase 3,Client: Compliance and audit reports.
11 Dashboard-Reports,UI parity,Frontend,Dashboard visual match to WTI Dashboard,Frontend,"Spacing, cards, banner, KPI tiles consistent with reference ERP.",Not Started,Arnav,High,Phase 2,Reference /app/wti/dashboard.
11 Dashboard-Reports,Module reports registry,Docs,List each module report owner + path,Docs,Ensure every report in functional spec is tracked Done in module sheets.,Not Started,Both,Medium,Phase 2,
12 Phases-Acceptance,Phase 0,Milestone,Scaffold + merge-safe routing + ERP shell + RBAC + login merged,All,Precious can branch; nav shows 7 modules (empty shells ok).,Not Started,Both,Critical,Phase 0,Arnav merges first.
12 Phases-Acceptance,Phase 0,UI,"Left nav labels exactly: Admissions, Students, Faculty, Academics, LMS, Exams, Fees",Frontend,Order and naming locked.,Not Started,Arnav,Critical,Phase 0,
12 Phases-Acceptance,Phase 0,UI,ModuleShell tabs Dashboard | Masters | Transactions | Reports on each module stub,Frontend,Empty states with WTI-like banner.,Not Started,Arnav,Critical,Phase 0,Precious uses same shell for owned modules.
12 Phases-Acceptance,Phase 1,Milestone,Shared masters + Admissions + Students + Fees core + Faculty masters/profiles + Academics masters/registration/attendance,All,End-to-end: apply → pay → enroll → appear in academics registration.,Not Started,Both,Critical,Phase 1,
12 Phases-Acceptance,Phase 1,Contract test,admission.enrolled creates Student readable by Precious,All,Integration smoke test documented.,Not Started,Both,Critical,Phase 1,
12 Phases-Acceptance,Phase 2,Milestone,"Timetable AI, LMS core, Exams core, Fee tax invoice email, Dashboards, major reports",All,Teaching/learning/exam/fee loop working.,Not Started,Both,Critical,Phase 2,
12 Phases-Acceptance,Phase 2,Contract test,result.published usable for promotion; dues flag blocks hall ticket,All,Cross-module smoke tests.,Not Started,Both,Critical,Phase 2,
12 Phases-Acceptance,Phase 3,Milestone,"Alumni, revaluation, forums/live polish, performance, profitability/compliance MIS, AI OCR real integration optional",All,Polish + advanced items.,Not Started,Both,High,Phase 3,
12 Phases-Acceptance,UI,Parity,Left sidebar module list styling,Frontend,"Active state, icons, collapsible behavior similar to reference.",Not Started,Arnav,High,Phase 0,https://erp.smart-aiapps.com/app/wti/dashboard
12 Phases-Acceptance,UI,Parity,"Top context bar (workspace, search, FY, location)",Frontend,Present on all pages.,Not Started,Arnav,High,Phase 0,
12 Phases-Acceptance,UI,Parity,Blue module banner title + subtitle + badge count on Masters,Frontend,Masters landing shows module count badge like '11 MODULES'.,Not Started,Arnav,High,Phase 1,
12 Phases-Acceptance,UI,Parity,"Masters card grid: icon, title, description, Open module link",Frontend,Same interaction pattern as WTI Masters.,Not Started,Arnav,Critical,Phase 1,Precious follows same card component.
12 Phases-Acceptance,UI,Parity,List/table pages consistent density and primary actions,Frontend,Shared DataTable.,Not Started,Both,High,Phase 1,
12 Phases-Acceptance,UAT,Admissions,Full workflow application→enrollment with fee payment,All,Demo script pass.,Not Started,Arnav,Critical,Phase 1,
12 Phases-Acceptance,UAT,Students,"Profile, hostel/transport, promotion, alumni path",All,Demo script pass.,Not Started,Arnav,High,Phase 2,
12 Phases-Acceptance,UAT,Faculty/Academics,Faculty assign → timetable → attendance,All,Demo script pass.,Not Started,Precious,Critical,Phase 2,
12 Phases-Acceptance,UAT,LMS/Exams,Course content → submission → exam → result publish,All,Demo script pass.,Not Started,Precious,Critical,Phase 2,
12 Phases-Acceptance,UAT,Fees,"Assign, collect, receipt, email invoice/receipt, outstanding",All,Demo script pass per client process note.,Not Started,Arnav,Critical,Phase 2,
12 Phases-Acceptance,UAT,E2E,Single student journey application to alumni (happy path),All,No duplicate data entry across modules.,Not Started,Both,Critical,Phase 3,
12 Phases-Acceptance,UAT,RBAC,Each role sees only permitted nav modules/actions,All,Permission matrix verified.,Not Started,Arnav,Critical,Phase 1,
12 Phases-Acceptance,Docs,Handoff,README + seed credentials + tracker status updated,Docs,Keep this tracker Status column current as work proceeds.,Not Started,Both,High,Phase 0,
